Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID
ENSG00000274189	ENSG00000274189.4	124900568
ENSG00000277725	ENSG00000277725.5	3803
ENSG00000275276	ENSG00000275276.1	3802
ENSG00000274722	ENSG00000274722.4	3812
ENSG00000278051	ENSG00000278051.1	
ENSG00000278850	ENSG00000278850.4	3812
ENSG00000276197	ENSG00000276197.1	
ENSG00000274917	ENSG00000274917.1	100008587
ENSG00000274917	ENSG00000274917.1	124900510
ENSG00000274917	ENSG00000274917.1	124907114
ENSG00000274917	ENSG00000274917.1	124907115
ENSG00000274917	ENSG00000274917.1	124907116
ENSG00000274917	ENSG00000274917.1	124907117
ENSG00000274917	ENSG00000274917.1	124907118
ENSG00000274917	ENSG00000274917.1	124907119
ENSG00000274917	ENSG00000274917.1	124907120
ENSG00000274917	ENSG00000274917.1	124907121
ENSG00000274917	ENSG00000274917.1	124907122
ENSG00000274917	ENSG00000274917.1	124907123
ENSG00000274917	ENSG00000274917.1	124907124
ENSG00000274917	ENSG00000274917.1	124907125
ENSG00000274917	ENSG00000274917.1	124907126
ENSG00000274917	ENSG00000274917.1	124907127
ENSG00000274917	ENSG00000274917.1	124907128
ENSG00000274917	ENSG00000274917.1	124907129
ENSG00000274917	ENSG00000274917.1	124907130
ENSG00000274917	ENSG00000274917.1	124907131
ENSG00000274917	ENSG00000274917.1	124907132
ENSG00000274917	ENSG00000274917.1	124907133
ENSG00000274917	ENSG00000274917.1	124907134
ENSG00000274917	ENSG00000274917.1	124907135
ENSG00000274917	ENSG00000274917.1	124907136
ENSG00000274917	ENSG00000274917.1	124907137
ENSG00000274917	ENSG00000274917.1	124907138
ENSG00000274917	ENSG00000274917.1	124907139
ENSG00000274917	ENSG00000274917.1	124907140
ENSG00000274917	ENSG00000274917.1	124907141
ENSG00000274917	ENSG00000274917.1	124907142
ENSG00000274917	ENSG00000274917.1	124907143
ENSG00000274917	ENSG00000274917.1	124907144
ENSG00000274917	ENSG00000274917.1	124907145
ENSG00000274917	ENSG00000274917.1	124907146
ENSG00000274917	ENSG00000274917.1	124907147
ENSG00000274917	ENSG00000274917.1	124907148
ENSG00000274917	ENSG00000274917.1	124907149
ENSG00000274917	ENSG00000274917.1	124907150
ENSG00000274917	ENSG00000274917.1	124907151
ENSG00000274917	ENSG00000274917.1	124907152
ENSG00000274917	ENSG00000274917.1	124907153
ENSG00000274917	ENSG00000274917.1	124907154
ENSG00000274917	ENSG00000274917.1	124907155
ENSG00000274917	ENSG00000274917.1	124907160
ENSG00000274917	ENSG00000274917.1	124907172
ENSG00000274917	ENSG00000274917.1	124907183
ENSG00000274917	ENSG00000274917.1	124907194
ENSG00000274917	ENSG00000274917.1	124907205
ENSG00000274917	ENSG00000274917.1	124907216
ENSG00000274917	ENSG00000274917.1	124907227
ENSG00000274917	ENSG00000274917.1	124907238
ENSG00000274917	ENSG00000274917.1	124907248
ENSG00000274917	ENSG00000274917.1	124907258
ENSG00000274917	ENSG00000274917.1	124907269
ENSG00000274917	ENSG00000274917.1	124907280
ENSG00000274917	ENSG00000274917.1	124907291
ENSG00000274917	ENSG00000274917.1	124907302
ENSG00000274917	ENSG00000274917.1	124907313
ENSG00000274917	ENSG00000274917.1	124907324
ENSG00000274917	ENSG00000274917.1	124907327
ENSG00000274917	ENSG00000274917.1	124907328
ENSG00000274917	ENSG00000274917.1	124907329
ENSG00000274917	ENSG00000274917.1	124907330
ENSG00000274917	ENSG00000274917.1	124907331
ENSG00000274917	ENSG00000274917.1	124907332
ENSG00000274917	ENSG00000274917.1	124907333
ENSG00000274917	ENSG00000274917.1	124907334
ENSG00000274917	ENSG00000274917.1	124907335
ENSG00000274917	ENSG00000274917.1	124907336
ENSG00000274917	ENSG00000274917.1	124907337
ENSG00000274917	ENSG00000274917.1	124907338
ENSG00000274917	ENSG00000274917.1	124907339
ENSG00000274917	ENSG00000274917.1	124907340
ENSG00000274917	ENSG00000274917.1	124907341
ENSG00000274917	ENSG00000274917.1	124907342
ENSG00000274917	ENSG00000274917.1	124907343
ENSG00000274917	ENSG00000274917.1	124907439
ENSG00000274917	ENSG00000274917.1	124907440
ENSG00000274917	ENSG00000274917.1	124907450
ENSG00000274917	ENSG00000274917.1	124907458
ENSG00000274917	ENSG00000274917.1	124907467
ENSG00000274917	ENSG00000274917.1	124907475
ENSG00000274917	ENSG00000274917.1	124907476
ENSG00000274917	ENSG00000274917.1	124907477
ENSG00000274917	ENSG00000274917.1	124907478
ENSG00000274917	ENSG00000274917.1	124907479
ENSG00000274917	ENSG00000274917.1	124907480
ENSG00000274917	ENSG00000274917.1	124907481
ENSG00000274917	ENSG00000274917.1	124907482
ENSG00000274917	ENSG00000274917.1	124907483
ENSG00000274917	ENSG00000274917.1	124907484
ENSG00000274917	ENSG00000274917.1	124907572
ENSG00000274917	ENSG00000274917.1	124907573
ENSG00000274917	ENSG00000274917.1	124907574
ENSG00000274917	ENSG00000274917.1	124907575
ENSG00000274917	ENSG00000274917.1	124907576
ENSG00000274917	ENSG00000274917.1	124907577
ENSG00000274917	ENSG00000274917.1	124907578
ENSG00000274917	ENSG00000274917.1	124907579
ENSG00000274917	ENSG00000274917.1	124907580
ENSG00000274917	ENSG00000274917.1	124907581
ENSG00000274917	ENSG00000274917.1	124907584
ENSG00000274917	ENSG00000274917.1	124907585
ENSG00000274917	ENSG00000274917.1	124907586
ENSG00000274917	ENSG00000274917.1	124907587
ENSG00000274917	ENSG00000274917.1	124907588
ENSG00000274917	ENSG00000274917.1	124907589
ENSG00000274917	ENSG00000274917.1	124907590
ENSG00000274917	ENSG00000274917.1	124907591
ENSG00000274917	ENSG00000274917.1	124907592
ENSG00000274917	ENSG00000274917.1	124907593
ENSG00000274917	ENSG00000274917.1	124907594
ENSG00000274917	ENSG00000274917.1	124907595
ENSG00000274917	ENSG00000274917.1	124907596
ENSG00000274917	ENSG00000274917.1	124907597
ENSG00000274917	ENSG00000274917.1	124907598
ENSG00000274917	ENSG00000274917.1	124907600
ENSG00000274917	ENSG00000274917.1	124907611
ENSG00000274917	ENSG00000274917.1	124907622
ENSG00000274917	ENSG00000274917.1	124907633
ENSG00000274917	ENSG00000274917.1	124907644
ENSG00000274917	ENSG00000274917.1	124907655
ENSG00000274917	ENSG00000274917.1	124907662
ENSG00000274917	ENSG00000274917.1	124907673
ENSG00000274917	ENSG00000274917.1	124907684
ENSG00000274917	ENSG00000274917.1	124907694
ENSG00000274917	ENSG00000274917.1	124907705
ENSG00000274917	ENSG00000274917.1	124907709
ENSG00000274917	ENSG00000274917.1	124907710
ENSG00000274917	ENSG00000274917.1	124907711
ENSG00000274917	ENSG00000274917.1	124907712
ENSG00000274917	ENSG00000274917.1	124907713
ENSG00000274917	ENSG00000274917.1	124907714
ENSG00000274917	ENSG00000274917.1	124907715
ENSG00000274917	ENSG00000274917.1	124907716
ENSG00000274917	ENSG00000274917.1	124907717
ENSG00000274917	ENSG00000274917.1	124907718
ENSG00000274917	ENSG00000274917.1	124907719
ENSG00000274917	ENSG00000274917.1	124907720
ENSG00000274917	ENSG00000274917.1	124907721
ENSG00000274917	ENSG00000274917.1	124908237
ENSG00000274917	ENSG00000274917.1	124908238
ENSG00000274917	ENSG00000274917.1	124908239
ENSG00000274917	ENSG00000274917.1	124908240
ENSG00000274917	ENSG00000274917.1	124908241
ENSG00000274917	ENSG00000274917.1	124908242
ENSG00000274917	ENSG00000274917.1	124908243
ENSG00000274917	ENSG00000274917.1	124908244
ENSG00000274917	ENSG00000274917.1	124908245
ENSG00000274917	ENSG00000274917.1	124908246
ENSG00000274917	ENSG00000274917.1	124908247
ENSG00000274917	ENSG00000274917.1	124908248
ENSG00000274917	ENSG00000274917.1	124908249
ENSG00000274917	ENSG00000274917.1	124908254
ENSG00000274917	ENSG00000274917.1	124908257
ENSG00000274917	ENSG00000274917.1	124908268
ENSG00000274917	ENSG00000274917.1	124908278
ENSG00000274917	ENSG00000274917.1	124908289
ENSG00000274917	ENSG00000274917.1	124908300
ENSG00000274917	ENSG00000274917.1	124908310
ENSG00000274917	ENSG00000274917.1	124908316
ENSG00000274917	ENSG00000274917.1	124908327
ENSG00000274917	ENSG00000274917.1	124908336
ENSG00000274917	ENSG00000274917.1	124908347
ENSG00000274917	ENSG00000274917.1	124908358
ENSG00000274917	ENSG00000274917.1	124908368
ENSG00000274917	ENSG00000274917.1	124908369
ENSG00000274917	ENSG00000274917.1	124908370
ENSG00000274917	ENSG00000274917.1	124908371
ENSG00000274917	ENSG00000274917.1	124908372
ENSG00000274917	ENSG00000274917.1	124908373
ENSG00000274917	ENSG00000274917.1	124908374
ENSG00000274917	ENSG00000274917.1	124908375
ENSG00000274917	ENSG00000274917.1	124908376
ENSG00000274917	ENSG00000274917.1	124908377
ENSG00000274917	ENSG00000274917.1	124908378
ENSG00000274917	ENSG00000274917.1	124908379
ENSG00000274917	ENSG00000274917.1	124908380
ENSG00000274917	ENSG00000274917.1	124908381
ENSG00000274917	ENSG00000274917.1	124908382
ENSG00000274917	ENSG00000274917.1	124908383
ENSG00000274917	ENSG00000274917.1	124908384
ENSG00000274917	ENSG00000274917.1	124908385
ENSG00000274917	ENSG00000274917.1	124908386
ENSG00000274917	ENSG00000274917.1	124908387
ENSG00000274917	ENSG00000274917.1	124908388
ENSG00000274917	ENSG00000274917.1	124908389
ENSG00000274917	ENSG00000274917.1	124908390
ENSG00000274917	ENSG00000274917.1	124908391
ENSG00000274917	ENSG00000274917.1	124908392
ENSG00000274917	ENSG00000274917.1	124908393
ENSG00000274917	ENSG00000274917.1	124908474
ENSG00000274917	ENSG00000274917.1	124908494
ENSG00000274917	ENSG00000274917.1	124908504
ENSG00000274917	ENSG00000274917.1	124908512
ENSG00000274917	ENSG00000274917.1	124908513
ENSG00000274917	ENSG00000274917.1	124908514
ENSG00000274917	ENSG00000274917.1	124908515
ENSG00000274917	ENSG00000274917.1	124908516
ENSG00000274917	ENSG00000274917.1	124908517
ENSG00000274917	ENSG00000274917.1	124908518
ENSG00000274917	ENSG00000274917.1	124908519
ENSG00000274917	ENSG00000274917.1	124908520
ENSG00000274917	ENSG00000274917.1	124908521
ENSG00000274917	ENSG00000274917.1	124908522
ENSG00000274917	ENSG00000274917.1	124908523
ENSG00000274917	ENSG00000274917.1	124908524
ENSG00000274917	ENSG00000274917.1	124908525
ENSG00000274917	ENSG00000274917.1	124908526
ENSG00000274917	ENSG00000274917.1	124908527
ENSG00000273730	ENSG00000273730.1	124900510
ENSG00000273730	ENSG00000273730.1	124907114
ENSG00000273730	ENSG00000273730.1	124907115
ENSG00000273730	ENSG00000273730.1	124907116
ENSG00000273730	ENSG00000273730.1	124907117
ENSG00000273730	ENSG00000273730.1	124907118
ENSG00000273730	ENSG00000273730.1	124907119
ENSG00000273730	ENSG00000273730.1	124907120
ENSG00000273730	ENSG00000273730.1	124907121
ENSG00000273730	ENSG00000273730.1	124907122
ENSG00000273730	ENSG00000273730.1	124907123
ENSG00000273730	ENSG00000273730.1	124907124
ENSG00000273730	ENSG00000273730.1	124907125
ENSG00000273730	ENSG00000273730.1	124907126
ENSG00000273730	ENSG00000273730.1	124907127
ENSG00000273730	ENSG00000273730.1	124907128
ENSG00000273730	ENSG00000273730.1	124907129
ENSG00000273730	ENSG00000273730.1	124907130
ENSG00000273730	ENSG00000273730.1	124907131
ENSG00000273730	ENSG00000273730.1	124907132
ENSG00000273730	ENSG00000273730.1	124907133
ENSG00000273730	ENSG00000273730.1	124907134
ENSG00000273730	ENSG00000273730.1	124907135
ENSG00000273730	ENSG00000273730.1	124907136
ENSG00000273730	ENSG00000273730.1	124907137
ENSG00000273730	ENSG00000273730.1	124907138
ENSG00000273730	ENSG00000273730.1	124907139
ENSG00000273730	ENSG00000273730.1	124907140
ENSG00000273730	ENSG00000273730.1	124907141
ENSG00000273730	ENSG00000273730.1	124907142
ENSG00000273730	ENSG00000273730.1	124907143
ENSG00000273730	ENSG00000273730.1	124907144
ENSG00000273730	ENSG00000273730.1	124907145
ENSG00000273730	ENSG00000273730.1	124907146
ENSG00000273730	ENSG00000273730.1	124907147
ENSG00000273730	ENSG00000273730.1	124907148
ENSG00000273730	ENSG00000273730.1	124907149
ENSG00000273730	ENSG00000273730.1	124907150
ENSG00000273730	ENSG00000273730.1	124907151
ENSG00000273730	ENSG00000273730.1	124907152
ENSG00000273730	ENSG00000273730.1	124907153
ENSG00000273730	ENSG00000273730.1	124907154
ENSG00000273730	ENSG00000273730.1	124907155
ENSG00000273730	ENSG00000273730.1	124907160
ENSG00000273730	ENSG00000273730.1	124907172
ENSG00000273730	ENSG00000273730.1	124907183
ENSG00000273730	ENSG00000273730.1	124907194
ENSG00000273730	ENSG00000273730.1	124907205
ENSG00000273730	ENSG00000273730.1	124907216
ENSG00000273730	ENSG00000273730.1	124907227
ENSG00000273730	ENSG00000273730.1	124907238
ENSG00000273730	ENSG00000273730.1	124907248
ENSG00000273730	ENSG00000273730.1	124907258
ENSG00000273730	ENSG00000273730.1	124907269
ENSG00000273730	ENSG00000273730.1	124907280
ENSG00000273730	ENSG00000273730.1	124907291
ENSG00000273730	ENSG00000273730.1	124907302
ENSG00000273730	ENSG00000273730.1	124907313
ENSG00000273730	ENSG00000273730.1	124907324
ENSG00000273730	ENSG00000273730.1	124907327
ENSG00000273730	ENSG00000273730.1	124907328
ENSG00000273730	ENSG00000273730.1	124907329
ENSG00000273730	ENSG00000273730.1	124907330
ENSG00000273730	ENSG00000273730.1	124907331
ENSG00000273730	ENSG00000273730.1	124907332
ENSG00000273730	ENSG00000273730.1	124907333
ENSG00000273730	ENSG00000273730.1	124907334
ENSG00000273730	ENSG00000273730.1	124907335
ENSG00000273730	ENSG00000273730.1	124907336
ENSG00000273730	ENSG00000273730.1	124907337
ENSG00000273730	ENSG00000273730.1	124907338
ENSG00000273730	ENSG00000273730.1	124907339
ENSG00000273730	ENSG00000273730.1	124907340
ENSG00000273730	ENSG00000273730.1	124907341
ENSG00000273730	ENSG00000273730.1	124907342
ENSG00000273730	ENSG00000273730.1	124907343
ENSG00000273730	ENSG00000273730.1	124907439
ENSG00000273730	ENSG00000273730.1	124907440
ENSG00000273730	ENSG00000273730.1	124907450
ENSG00000273730	ENSG00000273730.1	124907458
ENSG00000273730	ENSG00000273730.1	124907467
ENSG00000273730	ENSG00000273730.1	124907475
ENSG00000273730	ENSG00000273730.1	124907476
ENSG00000273730	ENSG00000273730.1	124907477
ENSG00000273730	ENSG00000273730.1	124907478
ENSG00000273730	ENSG00000273730.1	124907479
ENSG00000273730	ENSG00000273730.1	124907480
ENSG00000273730	ENSG00000273730.1	124907481
ENSG00000273730	ENSG00000273730.1	124907482
ENSG00000273730	ENSG00000273730.1	124907483
ENSG00000273730	ENSG00000273730.1	124907484
ENSG00000273730	ENSG00000273730.1	124907572
ENSG00000273730	ENSG00000273730.1	124907573
ENSG00000273730	ENSG00000273730.1	124907574
ENSG00000273730	ENSG00000273730.1	124907575
ENSG00000273730	ENSG00000273730.1	124907576
ENSG00000273730	ENSG00000273730.1	124907577
ENSG00000273730	ENSG00000273730.1	124907578
ENSG00000273730	ENSG00000273730.1	124907579
ENSG00000273730	ENSG00000273730.1	124907580
ENSG00000273730	ENSG00000273730.1	124907581
ENSG00000273730	ENSG00000273730.1	124907584
ENSG00000273730	ENSG00000273730.1	124907585
ENSG00000273730	ENSG00000273730.1	124907586
ENSG00000273730	ENSG00000273730.1	124907587
ENSG00000273730	ENSG00000273730.1	124907588
ENSG00000273730	ENSG00000273730.1	124907589
ENSG00000273730	ENSG00000273730.1	124907590
ENSG00000273730	ENSG00000273730.1	124907591
ENSG00000273730	ENSG00000273730.1	124907592
ENSG00000273730	ENSG00000273730.1	124907593
ENSG00000273730	ENSG00000273730.1	124907594
ENSG00000273730	ENSG00000273730.1	124907595
ENSG00000273730	ENSG00000273730.1	124907596
ENSG00000273730	ENSG00000273730.1	124907597
ENSG00000273730	ENSG00000273730.1	124907598
ENSG00000273730	ENSG00000273730.1	124907600
ENSG00000273730	ENSG00000273730.1	124907611
ENSG00000273730	ENSG00000273730.1	124907622
ENSG00000273730	ENSG00000273730.1	124907633
ENSG00000273730	ENSG00000273730.1	124907644
ENSG00000273730	ENSG00000273730.1	124907655
ENSG00000273730	ENSG00000273730.1	124907662
ENSG00000273730	ENSG00000273730.1	124907673
ENSG00000273730	ENSG00000273730.1	124907684
ENSG00000273730	ENSG00000273730.1	124907694
ENSG00000273730	ENSG00000273730.1	124907705
ENSG00000273730	ENSG00000273730.1	124907709
ENSG00000273730	ENSG00000273730.1	124907710
ENSG00000273730	ENSG00000273730.1	124907711
ENSG00000273730	ENSG00000273730.1	124907712
ENSG00000273730	ENSG00000273730.1	124907713
ENSG00000273730	ENSG00000273730.1	124907714
ENSG00000273730	ENSG00000273730.1	124907715
ENSG00000273730	ENSG00000273730.1	124907716
ENSG00000273730	ENSG00000273730.1	124907717
ENSG00000273730	ENSG00000273730.1	124907718
ENSG00000273730	ENSG00000273730.1	124907719
ENSG00000273730	ENSG00000273730.1	124907720
ENSG00000273730	ENSG00000273730.1	124907721
ENSG00000273730	ENSG00000273730.1	124908237
ENSG00000273730	ENSG00000273730.1	124908238
ENSG00000273730	ENSG00000273730.1	124908239
ENSG00000273730	ENSG00000273730.1	124908240
ENSG00000273730	ENSG00000273730.1	124908241
ENSG00000273730	ENSG00000273730.1	124908242
ENSG00000273730	ENSG00000273730.1	124908243
ENSG00000273730	ENSG00000273730.1	124908244
ENSG00000273730	ENSG00000273730.1	124908245
ENSG00000273730	ENSG00000273730.1	124908246
ENSG00000273730	ENSG00000273730.1	124908247
ENSG00000273730	ENSG00000273730.1	124908248
ENSG00000273730	ENSG00000273730.1	124908249
ENSG00000273730	ENSG00000273730.1	124908254
ENSG00000273730	ENSG00000273730.1	124908257
ENSG00000273730	ENSG00000273730.1	124908268
ENSG00000273730	ENSG00000273730.1	124908278
ENSG00000273730	ENSG00000273730.1	124908289
ENSG00000273730	ENSG00000273730.1	124908300
ENSG00000273730	ENSG00000273730.1	124908310
